Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27
8,9550,GRACH04,Ch-nad palaz,Peronospora,71%,69%,66%,63%,69%,64%,67%
3,9606,VIASV03,Sv-SottoPiazzale alto,Oidium,35%,36%,39%,29%,34%,32%,30%
3,9606,VIASV03,Sv-SottoPiazzale alto,Peronospora,65%,64%,61%,71%,66%,68%,70%
8,9616,GRASV04,Sv-Pod palaz,Oidium,24%,24%,25%,23%,37%,28%,41%
8,9616,GRASV04,Sv-Pod palaz,Peronospora,76%,76%,75%,77%,63%,72%,59%
3,9634,VIATF02,ToFr-SottoPiazzale,Oidium,49%,56%,55%,53%,48%,55%,48%
3,9634,VIATF02,ToFr-SottoPiazzale,Peronospora,51%,44%,45%,47%,52%,45%,52%
8,9751,GRAPG03,Rib-Saurin,Oidium,35%,40%,32%,25%,36%,34%,34%
8,9751,GRAPG03,Rib-Saurin,Peronospora,65%,60%,68%,75%,64%,66%,66%
3,9815,VIASV04,Sv-SottoPiazzale,Oidium,34%,49%,52%,50%,41%,49%,46%
3,9815,VIASV04,Sv-SottoPiazzale,Peronospora,66%,51%,48%,50%,59%,51%,54%
8,9816,GRAPG04,Pg-Dragiza,Oidium,29%,36%,31%,20%,27%,29%,29%
8,9816,GRAPG04,Pg-Dragiza,Peronospora,71%,64%,69%,80%,73%,71%,71%
3,9818,VIAPG03,Pg-SottoPiazzale,Oidium,36%,31%,29%,38%,24%,28%,29%
3,9818,VIAPG03,Pg-SottoPiazzale,Peronospora,64%,69%,71%,62%,76%,72%,71%
10,9844,GRASV05,Rib-Dragiza,Oidium,40%,37%,41%,37%,38%,39%,40%
10,9844,GRASV05,Rib-Dragiza,Peronospora,60%,63%,59%,63%,62%,61%,60%
10,9845,GRAMAL01,Pg-Maura sopra Mal ,Oidium,25%,30%,30%,28%,25%,32%,25%
10,9845,GRAMAL01,Pg-Maura sopra Mal ,Peronospora,75%,70%,70%,72%,75%,68%,75%
10,9846,GRAPG07,Pg-Maura,Oidium,38%,37%,37%,26%,32%,29%,39%
10,9846,GRAPG07,Pg-Maura,Peronospora,62%,63%,63%,74%,68%,71%,61%
44,9847,ERMPINB03,Pb-Mario,Oidium,42%,48%,54%,53%,55%,52%,57%
44,9847,ERMPINB03,Pb-Mario,Peronospora,58%,52%,46%,47%,45%,48%,43%
10,9848,GRAPG08,Pg-Elio,Oidium,20%,28%,26%,35%,27%,27%,30%
10,9848,GRAPG08,Pg-Elio,Peronospora,80%,72%,74%,65%,73%,73%,70%
10,9849,GRASV07,Sv-Nad boskom,Oidium,48%,32%,30%,27%,29%,34%,26%
10,9849,GRASV07,Sv-Nad boskom,Peronospora,52%,68%,70%,73%,71%,66%,74%
10,9850,GRAPG09,Pg-Scedina,Oidium,13%,16%,16%,19%,17%,15%,20%
10,9850,GRAPG09,Pg-Scedina,Peronospora,87%,84%,84%,81%,83%,85%,80%
10,9851,GRATR05,ToFr-Grdinca,Oidium,21%,30%,30%,23%,34%,21%,34%
10,9851,GRATR05,ToFr-Grdinca,Peronospora,79%,70%,70%,77%,66%,79%,66%
10,9852,GRAMAL03,Mal-Grdinca,Oidium,33%,32%,33%,32%,25%,22%,20%
10,9852,GRAMAL03,Mal-Grdinca,Peronospora,67%,68%,67%,68%,75%,78%,80%
10,9853,GRAMER03,Mer-Grdinca,Oidium,34%,40%,36%,32%,29%,27%,33%
10,9853,GRAMER03,Mer-Grdinca,Peronospora,66%,60%,64%,68%,71%,73%,67%
44,9854,ERMPIC01,Pic-Mario,Oidium,43%,43%,44%,48%,48%,50%,55%
44,9854,ERMPIC01,Pic-Mario,Peronospora,57%,57%,56%,52%,52%,50%,45%
45,9855,ERMCABS08,Csv-Mario,Oidium,43%,49%,53%,54%,59%,57%,59%
45,9855,ERMCABS08,Csv-Mario,Peronospora,57%,51%,47%,46%,41%,43%,41%
10,9856,STUCH01,Ch-nuova,Oidium,45%,42%,44%,46%,42%,46%,47%
10,9856,STUCH01,Ch-nuova,Peronospora,55%,58%,56%,54%,58%,54%,53%
10,9857,STUCSV01,Csv-Russiz,Oidium,47%,45%,45%,29%,42%,30%,45%
10,9857,STUCSV01,Csv-Russiz,Peronospora,53%,55%,55%,71%,58%,70%,55%
10,9858,STURIB01,Rib - Russiz Bosco,Oidium,16%,18%,15%,13%,20%,34%,42%
10,9858,STURIB01,Rib - Russiz Bosco,Peronospora,84%,82%,85%,87%,80%,66%,58%
3,9860,VIAREF01,Ref-SottoPiazzale,Oidium,61%,60%,61%,63%,62%,67%,63%
3,9860,VIAREF01,Ref-SottoPiazzale,Peronospora,39%,40%,39%,37%,38%,33%,37%
-1,9861,VDC,>> Vigneto da codificare,Oidium,58%,62%,59%,57%,66%,60%,56%
-1,9861,VDC,>> Vigneto da codificare,Peronospora,42%,38%,41%,43%,34%,40%,44%
10,9862,STUCF01,Cf-Russiz,Oidium,61%,55%,55%,50%,55%,55%,56%
10,9862,STUCF01,Cf-Russiz,Peronospora,39%,45%,45%,50%,45%,45%,44%
10,9863,STUTRA01,Tra - Russiz,Oidium,43%,38%,43%,44%,42%,45%,49%
10,9863,STUTRA01,Tra - Russiz,Peronospora,57%,62%,57%,56%,58%,55%,51%
10,9864,STUCAR01,Car-Russiz,Oidium,23%,31%,24%,33%,38%,24%,33%
10,9864,STUCAR01,Car-Russiz,Peronospora,77%,69%,76%,67%,62%,76%,67%
3,9911,VIAPG04,Pg-SottoPiazzale,Oidium,31%,31%,33%,21%,31%,25%,28%
3,9911,VIAPG04,Pg-SottoPiazzale,Peronospora,69%,69%,67%,79%,69%,75%,72%
10,9915,STUPG02,Pg - Russiz,Oidium,43%,42%,36%,45%,39%,39%,33%
10,9915,STUPG02,Pg - Russiz,Peronospora,57%,58%,64%,55%,61%,61%,67%
10,9942,STUSV01,Sv-Russiz,Oidium,29%,29%,26%,31%,38%,35%,40%
10,9942,STUSV01,Sv-Russiz,Peronospora,71%,71%,74%,69%,62%,65%,60%
10,9945,STUPG03,Pg - Russiz Bosco,Oidium,30%,32%,27%,15%,23%,27%,27%
10,9945,STUPG03,Pg - Russiz Bosco,Peronospora,70%,68%,73%,85%,77%,73%,73%
10,9946,STUSV02,Sv - Russiz Pioppi na,Oidium,41%,31%,36%,31%,31%,34%,24%
10,9946,STUSV02,Sv - Russiz Pioppi na,Peronospora,59%,69%,64%,69%,69%,66%,76%
10,9947,STUPG02,Pg-Oblim,Oidium,35%,26%,37%,27%,25%,26%,21%
10,9947,STUPG02,Pg-Oblim,Peronospora,65%,74%,63%,73%,75%,74%,79%
10,9949,STUCH02,Ch-campolungo,Oidium,26%,29%,29%,16%,24%,21%,20%
10,9949,STUCH02,Ch-campolungo,Peronospora,74%,71%,71%,84%,76%,79%,80%
10,9950,STUSV03,Sv-Campolungo,Oidium,28%,22%,23%,24%,35%,24%,32%
10,9950,STUSV03,Sv-Campolungo,Peronospora,72%,78%,77%,76%,65%,76%,68%
10,9951,STUTR01,ToFr-Skoncevo,Oidium,30%,31%,33%,37%,30%,26%,24%
10,9951,STUTR01,ToFr-Skoncevo,Peronospora,70%,69%,67%,63%,70%,74%,76%
10,9952,STUPG04,Pg-ColleDuga,Oidium,35%,37%,35%,27%,32%,30%,40%
10,9952,STUPG04,Pg-ColleDuga,Peronospora,65%,63%,65%,73%,68%,70%,60%
10,9953,STUMR02,Mer-Casarsa,Oidium,23%,25%,25%,23%,27%,14%,26%
10,9953,STUMR02,Mer-Casarsa,Peronospora,77%,75%,75%,77%,73%,86%,74%
10,9954,STUREF01,Ref-Casarsa,Oidium,16%,19%,14%,18%,14%,12%,22%
10,9954,STUREF01,Ref-Casarsa,Peronospora,84%,81%,86%,82%,86%,88%,78%
10,9955,STUMR01,Mer-Casa,Oidium,28%,29%,34%,34%,37%,35%,34%
10,9955,STUMR01,Mer-Casa,Peronospora,72%,71%,66%,66%,63%,65%,66%
10,9956,STUPET01,PetV-Casa,Oidium,32%,37%,32%,30%,29%,27%,20%
10,9956,STUPET01,PetV-Casa,Peronospora,68%,63%,68%,70%,71%,73%,80%
10,9957,STUSV04,Sv-Casa5,Oidium,40%,36%,40%,34%,35%,39%,40%
10,9957,STUSV04,Sv-Casa5,Peronospora,60%,64%,60%,66%,65%,61%,60%
10,9958,MAGSV05,Sv-5,Oidium,24%,28%,31%,27%,33%,32%,28%
10,9958,MAGSV05,Sv-5,Peronospora,76%,72%,69%,73%,67%,68%,72%
10,9959,MAGGLE13,Glera-13,Oidium,28%,35%,31%,21%,27%,26%,29%
10,9959,MAGGLE13,Glera-13,Peronospora,72%,65%,69%,79%,73%,74%,71%
10,9962,MAGGLE13,Glera-13_1,Oidium,45%,37%,32%,26%,28%,38%,25%
10,9962,MAGGLE13,Glera-13_1,Peronospora,55%,63%,68%,74%,72%,62%,75%
10,9964,MAGMER11,Mer-11,Oidium,36%,34%,31%,38%,32%,37%,32%
10,9964,MAGMER11,Mer-11,Peronospora,64%,66%,69%,62%,68%,63%,68%
10,9965,MAGGLE14,Glera-14,Oidium,32%,31%,30%,38%,27%,24%,23%
10,9965,MAGGLE14,Glera-14,Peronospora,68%,69%,70%,62%,73%,76%,77%
10,9968,MAGPG03,Pg-3,Oidium,31%,40%,35%,31%,28%,27%,34%
10,9968,MAGPG03,Pg-3,Peronospora,69%,60%,65%,69%,72%,73%,66%
10,9970,MAGSV05,Sv-5,Oidium,10%,18%,17%,13%,19%,19%,17%
10,9970,MAGSV05,Sv-5,Peronospora,90%,82%,83%,87%,81%,81%,83%
10,9971,MAGFR08,ToFr-8,Oidium,30%,28%,38%,26%,35%,25%,38%
10,9971,MAGFR08,ToFr-8,Peronospora,70%,72%,62%,74%,65%,75%,62%
10,9978,MAGVER09,Verduzzo,Oidium,45%,37%,32%,26%,28%,38%,25%
10,9978,MAGVER09,Verduzzo,Peronospora,55%,63%,68%,74%,72%,62%,75%
10,9980,MAGPG01,Pg-1,Oidium,32%,38%,33%,33%,32%,28%,34%
10,9980,MAGPG01,Pg-1,Peronospora,68%,62%,67%,67%,68%,72%,66%
10,9981,MAGPG02,Pg-2,Oidium,31%,34%,29%,17%,23%,24%,24%
10,9981,MAGPG02,Pg-2,Peronospora,69%,66%,71%,83%,77%,76%,76%
10,9983,MAGTR07,Tra-7,Oidium,32%,34%,30%,14%,23%,19%,27%
10,9983,MAGTR07,Tra-7,Peronospora,68%,66%,70%,86%,77%,81%,73%
10,9986,MAGSV06,Sv-6,Oidium,24%,22%,31%,25%,32%,16%,26%
10,9986,MAGSV06,Sv-6,Peronospora,76%,78%,69%,75%,68%,84%,74%
10,9987,MAGCH10,Ch-10,Oidium,22%,29%,26%,32%,38%,22%,32%
10,9987,MAGCH10,Ch-10,Peronospora,78%,71%,74%,68%,62%,78%,68%
10,9990,MAGCF12,Cf-12,Oidium,54%,45%,42%,44%,46%,47%,55%
10,9990,MAGCF12,Cf-12,Peronospora,46%,55%,58%,56%,54%,53%,45%
10,9992,MAGSV04,Sv-4,Oidium,33%,39%,37%,31%,37%,31%,33%
10,9992,MAGSV04,Sv-4,Peronospora,67%,61%,63%,69%,63%,69%,67%
10,9993,VISTMER01,Mer-Colombera,Oidium,36%,30%,33%,34%,39%,32%,36%
10,9993,VISTMER01,Mer-Colombera,Peronospora,64%,70%,67%,66%,61%,68%,64%
10,9994,VISTREB01,Rebo-2005,Oidium,35%,36%,24%,33%,25%,26%,28%
10,9994,VISTREB01,Rebo-2005,Peronospora,65%,64%,76%,67%,75%,74%,72%
10,9996,VISTRDPR01,RefDPR-2005,Oidium,41%,31%,36%,31%,31%,33%,23%
10,9996,VISTRDPR01,RefDPR-2005,Peronospora,59%,69%,64%,69%,69%,67%,77%
10,9997,VISTR01,ToFr-2005,Oidium,47%,31%,32%,27%,31%,35%,27%
10,9997,VISTR01,ToFr-2005,Peronospora,53%,69%,68%,73%,69%,65%,73%
11,9998,VISTMER01,Mer-1991,Oidium,46%,32%,30%,28%,26%,32%,26%
11,9998,VISTMER01,Mer-1991,Peronospora,54%,68%,70%,72%,74%,68%,74%
11,10000,VISTGLE01,Glera-Glera,Oidium,14%,20%,22%,24%,14%,15%,24%
11,10000,VISTGLE01,Glera-Glera,Peronospora,86%,80%,78%,76%,86%,85%,76%
11,10003,VISTMER02,Mer-1996,Oidium,36%,33%,33%,31%,23%,28%,27%
11,10003,VISTMER02,Mer-1996,Peronospora,64%,67%,67%,69%,77%,72%,73%
11,10005,VISTCF01,Cf-2001_sud,Oidium,39%,37%,37%,30%,30%,29%,29%
11,10005,VISTCF01,Cf-2001_sud,Peronospora,61%,63%,63%,70%,70%,71%,71%
11,10007,VISTMER03,Mer-2001_nord,Oidium,27%,34%,21%,38%,20%,32%,24%
11,10007,VISTMER03,Mer-2001_nord,Peronospora,73%,66%,79%,62%,80%,68%,76%
11,10009,VISTMER04,Mer-2000_sud,Oidium,34%,36%,24%,35%,27%,28%,28%
11,10009,VISTMER04,Mer-2000_sud,Peronospora,66%,64%,76%,65%,73%,72%,72%
11,10010,VISTMER05,Mer-2000_nord,Oidium,28%,24%,33%,35%,29%,32%,26%
11,10010,VISTMER05,Mer-2000_nord,Peronospora,72%,76%,67%,65%,71%,68%,74%
11,10012,VISTMER06,Mer1999_sud            ,Oidium,17%,19%,24%,22%,30%,25%,25%
11,10012,VISTMER06,Mer1999_sud            ,Peronospora,83%,81%,76%,78%,70%,75%,75%
11,10013,VISTMER07,Mer-1999 nord                 ,Oidium,32%,34%,32%,17%,24%,21%,24%
11,10013,VISTMER07,Mer-1999 nord                 ,Peronospora,68%,66%,68%,83%,76%,79%,76%
11,10017,VISTMER08,Mer- 1998_SUD,Oidium,38%,33%,34%,26%,28%,26%,33%
11,10017,VISTMER08,Mer- 1998_SUD,Peronospora,62%,67%,66%,74%,72%,74%,67%
11,10018,VISTMER09,Mer-1998_nord         ,Oidium,19%,24%,19%,16%,22%,17%,32%
11,10018,VISTMER09,Mer-1998_nord         ,Peronospora,81%,76%,81%,84%,78%,83%,68%
11,10032,VISTMER10,Mer-1997_B_Sud,Oidium,30%,27%,39%,37%,37%,33%,35%
11,10032,VISTMER10,Mer-1997_B_Sud,Peronospora,70%,73%,61%,63%,63%,67%,65%
11,10043,VISTMER11,Mer 1997_B_Nord    ,Oidium,27%,32%,28%,38%,42%,27%,35%
11,10043,VISTMER11,Mer 1997_B_Nord    ,Peronospora,73%,68%,72%,62%,58%,73%,65%
11,10052,VISTMER12,Mer_1997_A_sud,Oidium,32%,31%,25%,35%,33%,25%,30%
11,10052,VISTMER12,Mer_1997_A_sud,Peronospora,68%,69%,75%,65%,67%,75%,70%
45,10058,ERMREF01,Ref-Mario,Oidium,36%,30%,32%,35%,30%,41%,52%
45,10058,ERMREF01,Ref-Mario,Peronospora,64%,70%,68%,65%,70%,59%,48%
3,10063,VIACH01,Ch-Judrio,Oidium,18%,29%,34%,39%,40%,37%,35%
3,10063,VIACH01,Ch-Judrio,Peronospora,82%,71%,66%,61%,60%,63%,65%
11,10077,VISTMER13,Mer_1997_A_nord,Oidium,49%,45%,48%,51%,50%,40%,35%
11,10077,VISTMER13,Mer_1997_A_nord,Peronospora,51%,55%,52%,49%,50%,60%,65%
3,10182,VIAIM01,IncM-Judrio,Oidium,24%,29%,38%,33%,37%,35%,29%
3,10182,VIAIM01,IncM-Judrio,Peronospora,76%,71%,62%,67%,63%,65%,71%
3,10202,VIASCH01,Sch-Judrio,Oidium,33%,30%,28%,33%,39%,26%,31%
3,10202,VIASCH01,Sch-Judrio,Peronospora,67%,70%,72%,67%,61%,74%,69%
3,10223,VIAPIG01,Pig-Collina Alta,Oidium,32%,23%,22%,29%,39%,35%,34%
3,10223,VIAPIG01,Pig-Collina Alta,Peronospora,68%,77%,78%,71%,61%,65%,66%
11,10254,VISTANC02,ancellotta-2003,Oidium,31%,34%,41%,28%,25%,33%,24%
11,10254,VISTANC02,ancellotta-2003,Peronospora,69%,66%,59%,72%,75%,67%,76%
11,10255,VISCF02,Cf-2003,Oidium,35%,43%,55%,40%,33%,39%,41%
11,10255,VISCF02,Cf-2003,Peronospora,65%,57%,45%,60%,67%,61%,59%
11,10256,VISTRDPR02,Ref DPR-2003,Oidium,67%,70%,68%,65%,58%,60%,58%
11,10256,VISTRDPR02,Ref DPR-2003,Peronospora,33%,30%,32%,35%,42%,40%,42%
11,10257,VISTMER14,Mer-Ridiel,Oidium,40%,52%,50%,50%,41%,47%,55%
11,10257,VISTMER14,Mer-Ridiel,Peronospora,60%,48%,50%,50%,59%,53%,45%
11,10258,VISTTR02,ToFr-Tocai,Oidium,33%,25%,31%,31%,36%,31%,28%
11,10258,VISTTR02,ToFr-Tocai,Peronospora,67%,75%,69%,69%,64%,69%,72%
11,10259,PUISV01,Sau - Nuovo Romans,Oidium,31%,42%,46%,41%,34%,41%,42%
11,10259,PUISV01,Sau - Nuovo Romans,Peronospora,69%,58%,54%,59%,66%,59%,58%
11,10260,PUIPG02,Pg - Pali Cemento Romans,Oidium,39%,34%,42%,42%,40%,35%,40%
11,10260,PUIPG02,Pg - Pali Cemento Romans,Peronospora,61%,66%,58%,58%,60%,65%,60%
12,10261,PUIPN01,Pn - Vecchio Romans,Oidium,38%,37%,32%,42%,40%,23%,43%
12,10261,PUIPN01,Pn - Vecchio Romans,Peronospora,62%,63%,68%,58%,60%,77%,57%
12,10263,PUIPN03,Pn - Giovane Romans,Oidium,39%,41%,43%,36%,46%,46%,23%
12,10263,PUIPN03,Pn - Giovane Romans,Peronospora,61%,59%,57%,64%,54%,54%,77%
12,10264,PUIPG07,Pg-24File,Oidium,30%,45%,51%,42%,33%,41%,35%
12,10264,PUIPG07,Pg-24File,Peronospora,70%,55%,49%,58%,67%,59%,65%
12,10265,PUIPG09,Pg-30File,Oidium,30%,37%,36%,44%,33%,35%,43%
12,10265,PUIPG09,Pg-30File,Peronospora,70%,63%,64%,56%,67%,65%,57%
12,10266,PUICH02,Cha - Vecchio Romans,Oidium,30%,36%,35%,35%,34%,35%,42%
12,10266,PUICH02,Cha - Vecchio Romans,Peronospora,70%,64%,65%,65%,66%,65%,58%
12,10267,PUISV02,Sau - Vecchio Romans,Oidium,23%,24%,23%,23%,26%,29%,32%
12,10267,PUISV02,Sau - Vecchio Romans,Peronospora,77%,76%,77%,77%,74%,71%,68%
12,10268,PUITR01,TraAro-Romans,Oidium,32%,37%,37%,39%,42%,36%,30%
12,10268,PUITR01,TraAro-Romans,Peronospora,68%,63%,63%,61%,58%,64%,70%
12,10269,PUICH03,Cha - 2 ha Romans,Oidium,33%,39%,51%,53%,39%,41%,42%
12,10269,PUICH03,Cha - 2 ha Romans,Peronospora,67%,61%,49%,47%,61%,59%,58%
12,10270,PUITC03,ToFr - 2 ha Romans,Oidium,43%,45%,46%,46%,50%,48%,42%
12,10270,PUITC03,ToFr - 2 ha Romans,Peronospora,57%,55%,54%,54%,50%,52%,58%
12,10271,PUIPG10,Pg-22File,Oidium,38%,41%,39%,39%,38%,39%,31%
12,10271,PUIPG10,Pg-22File,Peronospora,62%,59%,61%,61%,62%,61%,69%
12,10272,PUIPG11,Pg-39File,Oidium,21%,33%,26%,26%,30%,29%,31%
12,10272,PUIPG11,Pg-39File,Peronospora,79%,67%,74%,74%,70%,71%,69%
12,10273,PUICH04,Cha - Nuovo Romans,Oidium,39%,41%,37%,36%,36%,38%,31%
12,10273,PUICH04,Cha - Nuovo Romans,Peronospora,61%,59%,63%,64%,64%,62%,69%
12,10274,PUITC04,ToFr - Nuovo Romans,Oidium,35%,32%,36%,43%,37%,37%,34%
12,10274,PUITC04,ToFr - Nuovo Romans,Peronospora,65%,68%,64%,57%,63%,63%,66%
12,10275,PUIRB02,RibRomans,Oidium,41%,32%,40%,36%,31%,37%,35%
12,10275,PUIRB02,RibRomans,Peronospora,59%,68%,60%,64%,69%,63%,65%
12,10276,GIGSV01,Sv-Rovere,Oidium,18%,25%,17%,20%,16%,15%,38%
12,10276,GIGSV01,Sv-Rovere,Peronospora,82%,75%,83%,80%,84%,85%,62%
12,10277,GIGCABF03,Cf-Rovere,Oidium,38%,28%,26%,27%,17%,22%,33%
12,10277,GIGCABF03,Cf-Rovere,Peronospora,62%,72%,74%,73%,83%,78%,67%
13,10278,GIGSV02,Sv-Magnan,Oidium,36%,36%,37%,28%,32%,27%,32%
13,10278,GIGSV02,Sv-Magnan,Peronospora,64%,64%,63%,72%,68%,73%,68%
40,10279,CENMR02,Mer-Ritocchino,Oidium,66%,71%,68%,64%,69%,71%,64%
40,10279,CENMR02,Mer-Ritocchino,Peronospora,34%,29%,32%,36%,31%,29%,36%
40,10280,CENSCH02,Sch-Ritocchino,Oidium,52%,63%,68%,73%,67%,62%,67%
40,10280,CENSCH02,Sch-Ritocchino,Peronospora,48%,37%,32%,27%,33%,38%,33%
13,10281,GIGCABF02,Cf-Magnan1,Oidium,30%,35%,33%,34%,35%,34%,34%
13,10281,GIGCABF02,Cf-Magnan1,Peronospora,70%,65%,67%,66%,65%,66%,66%
13,10282,GIGPING01,Pg-Magnan,Oidium,21%,17%,15%,12%,12%,20%,28%
13,10282,GIGPING01,Pg-Magnan,Peronospora,79%,83%,85%,88%,88%,80%,72%
13,10283,GIGSV03,Sv-Sottostrada,Oidium,21%,12%,13%,10%,12%,17%,29%
13,10283,GIGSV03,Sv-Sottostrada,Peronospora,79%,88%,87%,90%,88%,83%,71%
13,10284,GIGPING01,Pg-Sottostrada,Oidium,15%,8%,8%,8%,8%,14%,21%
13,10284,GIGPING01,Pg-Sottostrada,Peronospora,85%,92%,92%,92%,92%,86%,79%
13,10285,GIGMER04,Mer-Sottostrada,Oidium,23%,17%,17%,20%,14%,21%,20%
13,10285,GIGMER04,Mer-Sottostrada,Peronospora,77%,83%,83%,80%,86%,79%,80%
40,10286,CENRF02,Ref-Ritocchino,Oidium,61%,67%,65%,70%,70%,69%,74%
40,10286,CENRF02,Ref-Ritocchino,Peronospora,39%,33%,35%,30%,30%,31%,26%
13,10287,GIGFRI05,ToFr-Sottostrada,Oidium,24%,24%,25%,25%,42%,36%,38%
13,10287,GIGFRI05,ToFr-Sottostrada,Peronospora,76%,76%,75%,75%,58%,64%,62%
13,10288,GIGCHA01,Ch-Quadrel,Oidium,37%,37%,26%,32%,44%,41%,47%
13,10288,GIGCHA01,Ch-Quadrel,Peronospora,63%,63%,74%,68%,56%,59%,53%
13,10289,GIGCHA02,Ch-Diga,Oidium,29%,23%,18%,28%,37%,33%,36%
13,10289,GIGCHA02,Ch-Diga,Peronospora,71%,77%,82%,72%,63%,67%,64%
13,10290,GIGREF01,Ref-Diga,Oidium,33%,25%,20%,33%,41%,34%,48%
13,10290,GIGREF01,Ref-Diga,Peronospora,67%,75%,80%,67%,59%,66%,52%
3,10297,VIATAZ01,Taz-Judrio,Oidium,37%,45%,45%,44%,38%,42%,53%
3,10297,VIATAZ01,Taz-Judrio,Peronospora,63%,55%,55%,56%,62%,58%,47%
3,11290,VIAOSE01,Ose-Judrio,Oidium,41%,35%,36%,32%,39%,35%,33%
3,11290,VIAOSE01,Ose-Judrio,Peronospora,59%,65%,64%,68%,61%,65%,67%
3,11316,VIAMR02,Mer-Judrio,Oidium,38%,37%,38%,31%,40%,37%,34%
3,11316,VIAMR02,Mer-Judrio,Peronospora,62%,63%,62%,69%,60%,63%,66%
3,11489,VIACF01,Cf-Judrio,Oidium,31%,24%,35%,40%,44%,42%,37%
3,11489,VIACF01,Cf-Judrio,Peronospora,69%,76%,65%,60%,56%,58%,63%
3,11492,VIACSV01,Csv-Judrio,Oidium,31%,24%,35%,40%,44%,42%,37%
3,11492,VIACSV01,Csv-Judrio,Peronospora,69%,76%,65%,60%,56%,58%,63%
3,11505,VIACB01,Cabernet-Judrio,Oidium,39%,43%,40%,34%,37%,34%,40%
3,11505,VIACB01,Cabernet-Judrio,Peronospora,61%,57%,60%,66%,63%,66%,60%
3,11506,BGTPG01,Pg-SanQuirino,Oidium,40%,39%,41%,36%,33%,36%,35%
3,11506,BGTPG01,Pg-SanQuirino,Peronospora,60%,61%,59%,64%,67%,64%,65%
3,11511,BGTRB01,RibG-Pradis,Oidium,35%,31%,33%,33%,30%,28%,30%
3,11511,BGTRB01,RibG-Pradis,Peronospora,65%,69%,67%,67%,70%,72%,70%
3,11561,BGTTC02,ToFr-Preval,Oidium,28%,33%,33%,31%,32%,35%,33%
3,11561,BGTTC02,ToFr-Preval,Peronospora,72%,67%,67%,69%,68%,65%,67%
3,11583,SRESV03,Sau - Broili MolinNuovo,Oidium,37%,35%,33%,27%,36%,22%,26%
3,11583,SRESV03,Sau - Broili MolinNuovo,Peronospora,63%,65%,67%,73%,64%,78%,74%
13,11645,GIGSV04,Sv-Diga,Oidium,40%,42%,41%,30%,37%,33%,31%
13,11645,GIGSV04,Sv-Diga,Peronospora,60%,58%,59%,70%,63%,67%,69%
3,11711,SREPG02,Pg - Broili MolinNuovo ,Oidium,29%,23%,22%,34%,37%,31%,31%
3,11711,SREPG02,Pg - Broili MolinNuovo ,Peronospora,71%,77%,78%,66%,63%,69%,69%
3,11731,SRECH04,Cha - MolinNuovo,Oidium,37%,35%,33%,27%,36%,21%,26%
3,11731,SRECH04,Cha - MolinNuovo,Peronospora,63%,65%,67%,73%,64%,79%,74%
3,11816,SREMT03,Mer - Vecchio MolinNuovo,Oidium,40%,49%,50%,46%,40%,47%,53%
3,11816,SREMT03,Mer - Vecchio MolinNuovo,Peronospora,60%,51%,50%,54%,60%,53%,47%
13,11819,GIGSCH01,Sch-Luciano,Oidium,31%,30%,26%,25%,30%,29%,29%
13,11819,GIGSCH01,Sch-Luciano,Peronospora,69%,70%,74%,75%,70%,71%,71%
3,11874,SRECAR03,Car - Keber MolinNuovo,Oidium,32%,25%,22%,30%,31%,29%,33%
3,11874,SRECAR03,Car - Keber MolinNuovo,Peronospora,68%,75%,78%,70%,69%,71%,67%
3,11894,SREVER03,Ver - MolinNuovo ,Oidium,32%,24%,23%,27%,33%,29%,35%
3,11894,SREVER03,Ver - MolinNuovo ,Peronospora,68%,76%,77%,73%,67%,71%,65%
40,11948,CENPN01,Pn-Piano,Oidium,40%,47%,42%,43%,39%,38%,36%
40,11948,CENPN01,Pn-Piano,Peronospora,60%,53%,58%,57%,61%,62%,64%
3,11968,SRETO02,ToFr-Gorga,Oidium,20%,23%,23%,27%,40%,31%,43%
3,11968,SRETO02,ToFr-Gorga,Peronospora,80%,77%,77%,73%,60%,69%,57%
3,12006,SRESV01,Sv-Gorga,Oidium,25%,25%,22%,26%,32%,24%,30%
3,12006,SRESV01,Sv-Gorga,Peronospora,75%,75%,78%,74%,68%,76%,70%
5,12026,SREMAL01,Mal-Licinio,Oidium,25%,25%,22%,26%,32%,26%,30%
5,12026,SREMAL01,Mal-Licinio,Peronospora,75%,75%,78%,74%,68%,74%,70%
13,12288,GIGFRI01,ToFr-Ciliegi,Oidium,47%,50%,51%,46%,43%,49%,43%
13,12288,GIGFRI01,ToFr-Ciliegi,Peronospora,53%,50%,49%,54%,57%,51%,57%
5,12338,SRETO01,ToFr-Licinio,Oidium,22%,24%,27%,37%,35%,39%,35%
5,12338,SRETO01,ToFr-Licinio,Peronospora,78%,76%,73%,63%,65%,61%,65%
5,12373,TIARIBG01,RibG-piscina,Oidium,21%,20%,28%,33%,35%,38%,37%
5,12373,TIARIBG01,RibG-piscina,Peronospora,79%,80%,72%,67%,65%,62%,63%
5,12526,TIASV01,Sv-Piscina,Oidium,31%,37%,38%,40%,40%,37%,29%
5,12526,TIASV01,Sv-Piscina,Peronospora,69%,63%,62%,60%,60%,63%,71%
40,12528,CENSV01,Sv-Piano,Oidium,23%,26%,34%,34%,25%,27%,24%
