Vigneto_IdVigneto,Codice,NomeVigneto,Infection,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09
1308,BGTCSV01,Csv-SanQuirino,Oidium,46%,42%,34%,45%,44%,37%,32%
1308,BGTCSV01,Csv-SanQuirino,Peronospora,54%,58%,66%,55%,56%,63%,68%
1314,SFEPG01,Pg-Chiesa,Oidium,50%,48%,40%,45%,50%,44%,28%
1314,SFEPG01,Pg-Chiesa,Peronospora,50%,52%,60%,55%,50%,56%,72%
1328,SRECH01,Ch-Gorga,Oidium,40%,38%,36%,33%,37%,24%,30%
1328,SRECH01,Ch-Gorga,Peronospora,60%,62%,64%,67%,63%,76%,70%
1346,SFEMR01,Mer-Braida,Oidium,55%,53%,56%,56%,52%,53%,49%
1346,SFEMR01,Mer-Braida,Peronospora,45%,47%,44%,44%,48%,47%,51%
1353,SFEME02,Me-Braida,Oidium,47%,44%,40%,46%,46%,37%,28%
1353,SFEME02,Me-Braida,Peronospora,53%,56%,60%,54%,54%,63%,72%
1548,SFETC01,Sch-Potok,Oidium,26%,30%,36%,42%,48%,35%,40%
1548,SFETC01,Sch-Potok,Peronospora,74%,70%,64%,58%,52%,65%,60%
1594,SFECH04,Ch-mirnik,Oidium,27%,32%,39%,40%,46%,40%,43%
1594,SFECH04,Ch-mirnik,Peronospora,73%,68%,61%,60%,54%,60%,57%
1641,SFEMR02,Mer-Mirnik,Oidium,31%,33%,35%,46%,46%,37%,39%
1641,SFEMR02,Mer-Mirnik,Peronospora,69%,67%,65%,54%,54%,63%,61%
1702,SFECSV04,Csv-Giovanin,Oidium,27%,36%,47%,41%,45%,45%,45%
1702,SFECSV04,Csv-Giovanin,Peronospora,73%,64%,53%,59%,55%,55%,55%
1772,SFESV01,Sv-Giovanin,Oidium,22%,27%,36%,40%,49%,32%,41%
1772,SFESV01,Sv-Giovanin,Peronospora,78%,73%,64%,60%,51%,68%,59%
1789,SFEMAL01,Mal-Ronc,Oidium,26%,33%,43%,41%,50%,43%,46%
1789,SFEMAL01,Mal-Ronc,Peronospora,74%,67%,57%,59%,50%,57%,54%
1802,SFECH01,Ch-ronc,Oidium,25%,28%,35%,38%,46%,35%,40%
1802,SFECH01,Ch-ronc,Peronospora,75%,72%,65%,62%,54%,65%,60%
1856,SFERB05,RibG-ronc,Oidium,32%,35%,41%,44%,47%,43%,45%
1856,SFERB05,RibG-ronc,Peronospora,68%,65%,59%,56%,53%,57%,55%
1880,SFESCH01,Sch-Lidia,Oidium,22%,30%,38%,44%,48%,42%,44%
1880,SFESCH01,Sch-Lidia,Peronospora,78%,70%,62%,56%,52%,58%,56%
2048,SFECAR01,Car-Lidia,Oidium,22%,26%,36%,30%,21%,27%,28%
2048,SFECAR01,Car-Lidia,Peronospora,78%,74%,64%,70%,79%,73%,72%
2063,SFECSV02,Csv-Lidia,Oidium,23%,19%,28%,28%,19%,29%,34%
2063,SFECSV02,Csv-Lidia,Peronospora,77%,81%,72%,72%,81%,71%,66%
2093,SFEMR03,Mer-Lidia,Oidium,20%,28%,41%,28%,18%,22%,28%
2093,SFEMR03,Mer-Lidia,Peronospora,80%,72%,59%,72%,82%,78%,72%
2102,SREPB01,Pb-Genoveffa,Oidium,15%,20%,28%,19%,17%,20%,29%
2102,SREPB01,Pb-Genoveffa,Peronospora,85%,80%,72%,81%,83%,80%,71%
2124,SFEREF01,Rib-poggio_lonzanoalto,Oidium,22%,31%,41%,24%,19%,23%,29%
2124,SFEREF01,Rib-poggio_lonzanoalto,Peronospora,78%,69%,59%,76%,81%,77%,71%
2243,SFESCH02,Sch-Prepotto,Oidium,43%,33%,33%,33%,35%,23%,31%
2243,SFESCH02,Sch-Prepotto,Peronospora,57%,67%,67%,67%,65%,77%,69%
2248,SFECAR02,Car-Prepotto,Oidium,42%,37%,36%,34%,37%,23%,30%
2248,SFECAR02,Car-Prepotto,Peronospora,58%,63%,64%,66%,63%,77%,70%
2263,SFEPG03,Pg-LonzanoBasso,Oidium,34%,40%,28%,32%,35%,34%,26%
2263,SFEPG03,Pg-LonzanoBasso,Peronospora,66%,60%,72%,68%,65%,66%,74%
2302,SFEMR04,Mer-Lonzano basso,Oidium,63%,54%,58%,54%,42%,50%,40%
2302,SFEMR04,Mer-Lonzano basso,Peronospora,37%,46%,42%,46%,58%,50%,60%
2331,SFETC04,ToFr-Lonzano basso,Oidium,44%,40%,35%,48%,48%,47%,31%
2331,SFETC04,ToFr-Lonzano basso,Peronospora,56%,60%,65%,52%,52%,53%,69%
2523,SFERS01,Rie-lonzano basso,Oidium,48%,45%,41%,46%,40%,56%,39%
2523,SFERS01,Rie-lonzano basso,Peronospora,52%,55%,59%,54%,60%,44%,61%
2727,CENPG02,Pg-Terrazze,Oidium,26%,30%,35%,41%,33%,38%,42%
2727,CENPG02,Pg-Terrazze,Peronospora,74%,70%,65%,59%,67%,62%,58%
2763,SREPG01,Pg-Genoveffa,Oidium,20%,27%,40%,33%,27%,33%,30%
2763,SREPG01,Pg-Genoveffa,Peronospora,80%,73%,60%,67%,73%,67%,70%
2793,SFECH05,Ch-lonzano basso,Oidium,25%,27%,43%,30%,20%,30%,29%
2793,SFECH05,Ch-lonzano basso,Peronospora,75%,73%,57%,70%,80%,70%,71%
2888,SFEMAL02,Mal- Lonzano basso,Oidium,36%,40%,40%,37%,37%,34%,31%
2888,SFEMAL02,Mal- Lonzano basso,Peronospora,64%,60%,60%,63%,63%,66%,69%
2918,SFESCH03,Sch-Lonzano basso,Oidium,41%,39%,30%,36%,33%,37%,25%
2918,SFESCH03,Sch-Lonzano basso,Peronospora,59%,61%,70%,64%,67%,63%,75%
3034,ERMMER01,Mer-Bosco,Oidium,50%,46%,57%,51%,49%,49%,59%
3034,ERMMER01,Mer-Bosco,Peronospora,50%,54%,43%,49%,51%,51%,41%
3129,ERMFRI01,ToFr-Bosco,Oidium,32%,38%,39%,37%,42%,42%,38%
3129,ERMFRI01,ToFr-Bosco,Peronospora,68%,62%,61%,63%,58%,58%,62%
3132,SFESV02,Sv-Ferreghini,Oidium,21%,29%,36%,38%,21%,32%,36%
3132,SFESV02,Sv-Ferreghini,Peronospora,79%,71%,64%,62%,79%,68%,64%
3311,SFEMR05,Mer-Ferreghini,Oidium,56%,47%,47%,46%,54%,35%,30%
3311,SFEMR05,Mer-Ferreghini,Peronospora,44%,53%,53%,54%,46%,65%,70%
3316,SFEMR06,Mer-Ferreghini1,Oidium,53%,48%,44%,46%,54%,36%,31%
3316,SFEMR06,Mer-Ferreghini1,Peronospora,47%,52%,56%,54%,46%,64%,69%
3322,SFETC03,ToFr-Restocina,Oidium,56%,54%,41%,46%,49%,39%,33%
3322,SFETC03,ToFr-Restocina,Peronospora,44%,46%,59%,54%,51%,61%,67%
3372,ERMCHA01,Ch-Cantarutti,Oidium,34%,36%,29%,37%,38%,50%,42%
3372,ERMCHA01,Ch-Cantarutti,Peronospora,66%,64%,71%,63%,62%,50%,58%
3378,ERMFRI11,ToFr-Cantarutti,Oidium,38%,33%,32%,38%,42%,46%,42%
3378,ERMFRI11,ToFr-Cantarutti,Peronospora,62%,67%,68%,62%,58%,54%,58%
3390,ERMPIG02,Pig-Mario Cantina,Oidium,43%,43%,41%,44%,41%,42%,43%
3390,ERMPIG02,Pig-Mario Cantina,Peronospora,57%,57%,59%,56%,59%,58%,57%
3754,ERMPING06,Pg-Mario,Oidium,44%,47%,43%,38%,36%,40%,52%
3754,ERMPING06,Pg-Mario,Peronospora,56%,53%,57%,62%,64%,60%,48%
3797,CENSV03,Sv-Terrazze,Oidium,26%,37%,41%,27%,28%,25%,30%
3797,CENSV03,Sv-Terrazze,Peronospora,74%,63%,59%,73%,72%,75%,70%
3823,VIARIS01,Rie-Bosco,Oidium,25%,41%,39%,34%,25%,21%,28%
3823,VIARIS01,Rie-Bosco,Peronospora,75%,59%,61%,66%,75%,79%,72%
3880,SFECH03,Ch-restocina1,Oidium,36%,40%,28%,37%,25%,23%,39%
3880,SFECH03,Ch-restocina1,Peronospora,64%,60%,72%,63%,75%,77%,61%
3940,VIAPG01,Pg-Bosco,Oidium,20%,27%,39%,33%,27%,31%,36%
3940,VIAPG01,Pg-Bosco,Peronospora,80%,73%,61%,67%,73%,69%,64%
3973,SFECH02,ToFr-Restocina_gradoni,Oidium,33%,32%,37%,37%,39%,35%,35%
3973,SFECH02,ToFr-Restocina_gradoni,Peronospora,67%,68%,63%,63%,61%,65%,65%
4223,SFERB04,RibG-restocina,Oidium,43%,39%,37%,44%,32%,33%,35%
4223,SFERB04,RibG-restocina,Peronospora,57%,61%,63%,56%,68%,67%,65%
4227,SFESV03,Sv-Basso_Bodigoi,Oidium,47%,44%,45%,46%,41%,50%,33%
4227,SFESV03,Sv-Basso_Bodigoi,Peronospora,53%,56%,55%,54%,59%,50%,67%
4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Oidium,31%,44%,45%,37%,28%,24%,25%
4338,SFEPG03,Rib-Vecchia_lonzanoAlto,Peronospora,69%,56%,55%,63%,72%,76%,75%
4350,SFEMR04,Pb-LonzanoAlto,Oidium,22%,31%,42%,31%,24%,34%,32%
4350,SFEMR04,Pb-LonzanoAlto,Peronospora,78%,69%,58%,69%,76%,66%,68%
4557,SFETC04,Rib-SottoCasa_restocina,Oidium,25%,38%,32%,23%,22%,20%,23%
4557,SFETC04,Rib-SottoCasa_restocina,Peronospora,75%,62%,68%,77%,78%,80%,77%
4567,SFERS01,Sv-Restocina,Oidium,25%,31%,27%,29%,24%,23%,30%
4567,SFERS01,Sv-Restocina,Peronospora,75%,69%,73%,71%,76%,77%,70%
4832,SFECH05,Rib-Scriò_Bodigoi,Oidium,24%,31%,45%,31%,21%,33%,34%
4832,SFECH05,Rib-Scriò_Bodigoi,Peronospora,76%,69%,55%,69%,79%,67%,66%
4942,SFEMAL02,Carm-Paolin,Oidium,22%,29%,33%,23%,22%,27%,36%
4942,SFEMAL02,Carm-Paolin,Peronospora,78%,71%,67%,77%,78%,73%,64%
5015,,friulano-Cantina_Bodi,Oidium,18%,28%,37%,24%,16%,24%,30%
5015,,friulano-Cantina_Bodi,Peronospora,82%,72%,63%,76%,84%,76%,70%
5240,VIAPB01,Pb-Bosco,Oidium,33%,40%,28%,32%,35%,34%,26%
5240,VIAPB01,Pb-Bosco,Peronospora,67%,60%,72%,68%,65%,66%,74%
5256,SFEPB02,Pb-Case,Oidium,27%,33%,40%,31%,19%,22%,30%
5256,SFEPB02,Pb-Case,Peronospora,73%,67%,60%,69%,81%,78%,70%
5297,LENMER01,Mer - Golan,Oidium,58%,61%,60%,58%,55%,50%,45%
5297,LENMER01,Mer - Golan,Peronospora,42%,39%,40%,42%,45%,50%,55%
5310,LENCSV01,Csv - Golan,Oidium,38%,38%,31%,35%,38%,46%,28%
5310,LENCSV01,Csv - Golan,Peronospora,62%,62%,69%,65%,62%,54%,72%
5409,VIAVERPIC01,Ver/Pic-Bosco,Oidium,18%,25%,40%,30%,21%,30%,29%
5409,VIAVERPIC01,Ver/Pic-Bosco,Peronospora,82%,75%,60%,70%,79%,70%,71%
5415,VIAPIG01,Pig-Judrio,Oidium,29%,32%,30%,23%,27%,28%,42%
5415,VIAPIG01,Pig-Judrio,Peronospora,71%,68%,70%,77%,73%,72%,58%
5427,LENTF01,ToFr - Golan,Oidium,18%,28%,37%,24%,27%,28%,31%
5427,LENTF01,ToFr - Golan,Peronospora,82%,72%,63%,76%,73%,72%,69%
5457,VIATF01,ToFr-CollinaVecchia,Oidium,39%,39%,41%,37%,34%,26%,31%
5457,VIATF01,ToFr-CollinaVecchia,Peronospora,61%,61%,59%,63%,66%,74%,69%
5460,LENSCH01,Sch-Albana,Oidium,39%,39%,41%,37%,34%,26%,31%
5460,LENSCH01,Sch-Albana,Peronospora,61%,61%,59%,63%,66%,74%,69%
5464,VIARB01,Rib-CollinaVecchia,Oidium,32%,36%,31%,32%,30%,23%,32%
5464,VIARB01,Rib-CollinaVecchia,Peronospora,68%,64%,69%,68%,70%,77%,68%
5553,LENCAR02,Car-Albana,Oidium,45%,42%,46%,44%,45%,38%,40%
5553,LENCAR02,Car-Albana,Peronospora,55%,58%,54%,56%,55%,62%,60%
6037,LENTR02,ToFr-Albana,Oidium,17%,25%,27%,19%,16%,25%,35%
6037,LENTR02,ToFr-Albana,Peronospora,83%,75%,73%,81%,84%,75%,65%
6436,LENSV01,Sv-Albana,Oidium,31%,34%,40%,48%,48%,39%,35%
6436,LENSV01,Sv-Albana,Peronospora,69%,66%,60%,52%,52%,61%,65%
6469,LENCF01,Cf-Albana,Oidium,31%,36%,35%,41%,36%,32%,33%
6469,LENCF01,Cf-Albana,Peronospora,69%,64%,65%,59%,64%,68%,67%
6490,LENMER02,Mer-Albana ,Oidium,32%,36%,40%,46%,45%,42%,38%
6490,LENMER02,Mer-Albana ,Peronospora,68%,64%,60%,54%,55%,58%,62%
6697,LENTR03,ToFr-Casa2,Oidium,38%,41%,32%,30%,32%,27%,39%
6697,LENTR03,ToFr-Casa2,Peronospora,62%,59%,68%,70%,68%,73%,61%
6703,CENRB01,Rib-Terrazze,Oidium,26%,31%,45%,30%,25%,29%,27%
6703,CENRB01,Rib-Terrazze,Peronospora,74%,69%,55%,70%,75%,71%,73%
6866,LENCF02,CabF - Milio,Oidium,27%,45%,45%,34%,24%,23%,23%
6866,LENCF02,CabF - Milio,Peronospora,73%,55%,55%,66%,76%,77%,77%
6868,LENRIB01,Rib - Milio,Oidium,31%,39%,39%,29%,23%,25%,28%
6868,LENRIB01,Rib - Milio,Peronospora,69%,61%,61%,71%,77%,75%,72%
6895,LENSV02,Sv - Fornalis Estirpato 2016,Oidium,29%,27%,27%,24%,24%,25%,30%
6895,LENSV02,Sv - Fornalis Estirpato 2016,Peronospora,71%,73%,73%,76%,76%,75%,70%
6902,VIAVER01,Ver-Bosco,Oidium,38%,43%,42%,39%,36%,36%,37%
6902,VIAVER01,Ver-Bosco,Peronospora,62%,57%,58%,61%,64%,64%,63%
6927,GRASV01,Sv-Neblo,Oidium,37%,43%,39%,36%,31%,35%,31%
6927,GRASV01,Sv-Neblo,Peronospora,63%,57%,61%,64%,69%,65%,69%
7068,GRARIB01,Rib-neblo,Oidium,41%,37%,35%,42%,44%,39%,45%
7068,GRARIB01,Rib-neblo,Peronospora,59%,63%,65%,58%,56%,61%,55%
7069,GRATR01,ToFr-Neblo,Oidium,39%,34%,35%,28%,29%,31%,35%
7069,GRATR01,ToFr-Neblo,Peronospora,61%,66%,65%,72%,71%,69%,65%
7309,VIASV01,Sv-SottoCantina,Oidium,40%,41%,48%,38%,41%,39%,40%
7309,VIASV01,Sv-SottoCantina,Peronospora,60%,59%,52%,62%,59%,61%,60%
7310,GRARIB02,Rib-zali breg,Oidium,40%,42%,42%,41%,37%,36%,38%
7310,GRARIB02,Rib-zali breg,Peronospora,60%,58%,58%,59%,63%,64%,62%
7442,GRAPB01,Pb-ZaliBreg,Oidium,48%,45%,47%,46%,37%,41%,40%
7442,GRAPB01,Pb-ZaliBreg,Peronospora,52%,55%,53%,54%,63%,59%,60%
7457,GRAMER02,Mer-ZaliBreg,Oidium,27%,33%,40%,30%,22%,26%,31%
7457,GRAMER02,Mer-ZaliBreg,Peronospora,73%,67%,60%,70%,78%,74%,69%
7464,CENFR01,ToFr-Terrazze,Oidium,23%,29%,38%,27%,16%,17%,29%
7464,CENFR01,ToFr-Terrazze,Peronospora,77%,71%,62%,73%,84%,83%,71%
7468,CENPIG02,Pig-Ritocchino,Oidium,23%,30%,37%,26%,19%,21%,29%
7468,CENPIG02,Pig-Ritocchino,Peronospora,77%,70%,63%,74%,81%,79%,71%
7472,GRARIB02,Rib-ZaliBreg1,Oidium,27%,33%,39%,30%,25%,26%,31%
7472,GRARIB02,Rib-ZaliBreg1,Peronospora,73%,67%,61%,70%,75%,74%,69%
7866,GRASV02,Sv-Zali breg,Oidium,18%,31%,40%,31%,15%,22%,33%
7866,GRASV02,Sv-Zali breg,Peronospora,82%,69%,60%,69%,85%,78%,67%
7877,GRASV03,Sv-Pintar,Oidium,38%,31%,31%,42%,39%,33%,32%
7877,GRASV03,Sv-Pintar,Peronospora,62%,69%,69%,58%,61%,67%,68%
7882,GRAMER01,Mer-Pintar,Oidium,41%,37%,35%,42%,44%,39%,45%
7882,GRAMER01,Mer-Pintar,Peronospora,59%,63%,65%,58%,56%,61%,55%
7904,GRATR02,ToFr-pintar,Oidium,35%,32%,46%,31%,25%,28%,33%
7904,GRATR02,ToFr-pintar,Peronospora,65%,68%,54%,69%,75%,72%,67%
7972,GRAPG01,Pg-Pintar,Oidium,43%,52%,55%,52%,36%,33%,34%
7972,GRAPG01,Pg-Pintar,Peronospora,57%,48%,45%,48%,64%,67%,66%
8069,GRACH01,Ch-calvario,Oidium,27%,33%,39%,29%,21%,26%,31%
8069,GRACH01,Ch-calvario,Peronospora,73%,67%,61%,71%,79%,74%,69%
8082,VIAPG02,Pg-SottoCantina,Oidium,38%,43%,42%,39%,36%,38%,39%
8082,VIAPG02,Pg-SottoCantina,Peronospora,62%,57%,58%,61%,64%,62%,61%
8104,GRAMER02,Mer-Calvario,Oidium,50%,43%,42%,40%,40%,48%,55%
8104,GRAMER02,Mer-Calvario,Peronospora,50%,57%,58%,60%,60%,52%,45%
8173,VIAVER02,Ver-Sotto cantina,Oidium,29%,36%,36%,32%,36%,33%,42%
8173,VIAVER02,Ver-Sotto cantina,Peronospora,71%,64%,64%,68%,64%,67%,58%
8183,GRACAR01,Car-Calvario,Oidium,46%,47%,38%,49%,47%,45%,35%
8183,GRACAR01,Car-Calvario,Peronospora,54%,53%,62%,51%,53%,55%,65%
8273,GRAMAL01,Mal-Calvario,Oidium,43%,55%,47%,50%,39%,29%,31%
8273,GRAMAL01,Mal-Calvario,Peronospora,57%,45%,53%,50%,61%,71%,69%
8280,GRARIB03,Rib-Calvario,Oidium,46%,44%,44%,46%,48%,36%,31%
8280,GRARIB03,Rib-Calvario,Peronospora,54%,56%,56%,54%,52%,64%,69%
8294,GRATR02,ToFr-StefanutCasa,Oidium,51%,38%,40%,47%,52%,35%,32%
8294,GRATR02,ToFr-StefanutCasa,Peronospora,49%,62%,60%,53%,48%,65%,68%
8330,GRATR03,ToFr-StefanutCasa1,Oidium,35%,29%,27%,30%,34%,30%,22%
8330,GRATR03,ToFr-StefanutCasa1,Peronospora,65%,71%,73%,70%,66%,70%,78%
8343,GRATR04,ToFr-Mossa,Oidium,36%,49%,48%,47%,48%,26%,29%
8343,GRATR04,ToFr-Mossa,Peronospora,64%,51%,52%,53%,52%,74%,71%
8345,GRAMAL02,Mal- Bratinis Fornace,Oidium,53%,57%,43%,48%,47%,28%,33%
8345,GRAMAL02,Mal- Bratinis Fornace,Peronospora,47%,43%,57%,52%,53%,72%,67%
8356,GRACH02,Ch-Bratinis Fornace,Oidium,58%,54%,54%,46%,50%,39%,40%
