Vigneto_IdVigneto,Codice,NomeVigneto,Infection,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09
9816,GRAPG04,Pg-Dragiza,Peronospora,74%,66%,72%,68%,73%,69%,70%
9818,VIAPG03,Pg-SottoPiazzale,Oidium,27%,29%,26%,27%,24%,25%,32%
9818,VIAPG03,Pg-SottoPiazzale,Peronospora,73%,71%,74%,73%,76%,75%,68%
9844,GRASV05,Rib-Dragiza,Oidium,40%,30%,37%,46%,41%,35%,30%
9844,GRASV05,Rib-Dragiza,Peronospora,60%,70%,63%,54%,59%,65%,70%
9845,GRAMAL01,Pg-Maura sopra Mal ,Oidium,27%,33%,33%,39%,29%,30%,28%
9845,GRAMAL01,Pg-Maura sopra Mal ,Peronospora,73%,67%,67%,61%,71%,70%,72%
9846,GRAPG07,Pg-Maura,Oidium,40%,41%,34%,40%,31%,26%,36%
9846,GRAPG07,Pg-Maura,Peronospora,60%,59%,66%,60%,69%,74%,64%
9847,ERMPINB03,Pb-Mario,Oidium,40%,43%,47%,44%,43%,36%,39%
9847,ERMPINB03,Pb-Mario,Peronospora,60%,57%,53%,56%,57%,64%,61%
9848,GRAPG08,Pg-Elio,Oidium,13%,19%,20%,23%,25%,20%,25%
9848,GRAPG08,Pg-Elio,Peronospora,87%,81%,80%,77%,75%,80%,75%
9849,GRASV07,Sv-Nad boskom,Oidium,36%,34%,36%,44%,25%,29%,23%
9849,GRASV07,Sv-Nad boskom,Peronospora,64%,66%,64%,56%,75%,71%,77%
9850,GRAPG09,Pg-Scedina,Oidium,38%,38%,37%,39%,28%,21%,10%
9850,GRAPG09,Pg-Scedina,Peronospora,62%,62%,63%,61%,72%,79%,90%
9851,GRATR05,ToFr-Grdinca,Oidium,24%,28%,31%,33%,29%,27%,33%
9851,GRATR05,ToFr-Grdinca,Peronospora,76%,72%,69%,67%,71%,73%,67%
9852,GRAMAL03,Mal-Grdinca,Oidium,29%,32%,27%,28%,29%,22%,20%
9852,GRAMAL03,Mal-Grdinca,Peronospora,71%,68%,73%,72%,71%,78%,80%
9853,GRAMER03,Mer-Grdinca,Oidium,45%,53%,46%,53%,47%,46%,28%
9853,GRAMER03,Mer-Grdinca,Peronospora,55%,47%,54%,47%,53%,54%,72%
9854,ERMPIC01,Pic-Mario,Oidium,23%,25%,34%,38%,35%,36%,39%
9854,ERMPIC01,Pic-Mario,Peronospora,77%,75%,66%,62%,65%,64%,61%
9855,ERMCABS08,Csv-Mario,Oidium,39%,45%,38%,46%,40%,37%,42%
9855,ERMCABS08,Csv-Mario,Peronospora,61%,55%,62%,54%,60%,63%,58%
9856,STUCH01,Ch-nuova,Oidium,50%,51%,38%,37%,24%,38%,26%
9856,STUCH01,Ch-nuova,Peronospora,50%,49%,62%,63%,76%,62%,74%
9857,STUCSV01,Csv-Russiz,Oidium,54%,56%,52%,53%,52%,40%,41%
9857,STUCSV01,Csv-Russiz,Peronospora,46%,44%,48%,47%,48%,60%,59%
9858,STURIB01,Rib - Russiz Bosco,Oidium,23%,28%,31%,45%,44%,32%,43%
9858,STURIB01,Rib - Russiz Bosco,Peronospora,77%,72%,69%,55%,56%,68%,57%
9860,VIAREF01,Ref-SottoPiazzale,Oidium,64%,52%,54%,56%,56%,62%,56%
9860,VIAREF01,Ref-SottoPiazzale,Peronospora,36%,48%,46%,44%,44%,38%,44%
9861,VDC,>> Vigneto da codificare,Oidium,70%,70%,72%,59%,57%,56%,73%
9861,VDC,>> Vigneto da codificare,Peronospora,30%,30%,28%,41%,43%,44%,27%
9862,STUCF01,Cf-Russiz,Oidium,51%,44%,42%,36%,49%,42%,59%
9862,STUCF01,Cf-Russiz,Peronospora,49%,56%,58%,64%,51%,58%,41%
9863,STUTRA01,Tra - Russiz,Oidium,52%,48%,38%,36%,27%,37%,24%
9863,STUTRA01,Tra - Russiz,Peronospora,48%,52%,62%,64%,73%,63%,76%
9864,STUCAR01,Car-Russiz,Oidium,28%,44%,32%,33%,35%,31%,41%
9864,STUCAR01,Car-Russiz,Peronospora,72%,56%,68%,67%,65%,69%,59%
9911,VIAPG04,Pg-SottoPiazzale,Oidium,38%,35%,33%,27%,28%,29%,30%
9911,VIAPG04,Pg-SottoPiazzale,Peronospora,62%,65%,67%,73%,72%,71%,70%
9915,STUPG02,Pg - Russiz,Oidium,48%,47%,40%,36%,44%,46%,34%
9915,STUPG02,Pg - Russiz,Peronospora,52%,53%,60%,64%,56%,54%,66%
9942,STUSV01,Sv-Russiz,Oidium,11%,27%,29%,20%,20%,34%,32%
9942,STUSV01,Sv-Russiz,Peronospora,89%,73%,71%,80%,80%,66%,68%
9945,STUPG03,Pg - Russiz Bosco,Oidium,27%,39%,33%,36%,43%,36%,28%
9945,STUPG03,Pg - Russiz Bosco,Peronospora,73%,61%,67%,64%,57%,64%,72%
9946,STUSV02,Sv - Russiz Pioppi na,Oidium,35%,25%,33%,39%,31%,28%,22%
9946,STUSV02,Sv - Russiz Pioppi na,Peronospora,65%,75%,67%,61%,69%,72%,78%
9947,STUPG02,Pg-Oblim,Oidium,39%,41%,29%,35%,43%,46%,40%
9947,STUPG02,Pg-Oblim,Peronospora,61%,59%,71%,65%,57%,54%,60%
9949,STUCH02,Ch-campolungo,Oidium,26%,44%,36%,34%,31%,22%,16%
9949,STUCH02,Ch-campolungo,Peronospora,74%,56%,64%,66%,69%,78%,84%
9950,STUSV03,Sv-Campolungo,Oidium,26%,41%,29%,36%,34%,32%,37%
9950,STUSV03,Sv-Campolungo,Peronospora,74%,59%,71%,64%,66%,68%,63%
9951,STUTR01,ToFr-Skoncevo,Oidium,38%,36%,29%,34%,33%,35%,33%
9951,STUTR01,ToFr-Skoncevo,Peronospora,62%,64%,71%,66%,67%,65%,67%
9952,STUPG04,Pg-ColleDuga,Oidium,35%,46%,37%,32%,34%,24%,35%
9952,STUPG04,Pg-ColleDuga,Peronospora,65%,54%,63%,68%,66%,76%,65%
9953,STUMR02,Mer-Casarsa,Oidium,41%,37%,39%,38%,38%,28%,24%
9953,STUMR02,Mer-Casarsa,Peronospora,59%,63%,61%,62%,62%,72%,76%
9954,STUREF01,Ref-Casarsa,Oidium,36%,30%,37%,33%,28%,27%,12%
9954,STUREF01,Ref-Casarsa,Peronospora,64%,70%,63%,67%,72%,73%,88%
9955,STUMR01,Mer-Casa,Oidium,43%,44%,53%,54%,56%,44%,47%
9955,STUMR01,Mer-Casa,Peronospora,57%,56%,47%,46%,44%,56%,53%
9956,STUPET01,PetV-Casa,Oidium,30%,35%,38%,37%,35%,27%,32%
9956,STUPET01,PetV-Casa,Peronospora,70%,65%,62%,63%,65%,73%,68%
9957,STUSV04,Sv-Casa5,Oidium,41%,29%,37%,45%,40%,35%,31%
9957,STUSV04,Sv-Casa5,Peronospora,59%,71%,63%,55%,60%,65%,69%
9958,MAGSV05,Sv-5,Oidium,27%,32%,29%,33%,29%,27%,33%
9958,MAGSV05,Sv-5,Peronospora,73%,68%,71%,67%,71%,73%,67%
9959,MAGGLE13,Glera-13,Oidium,27%,35%,28%,32%,28%,34%,29%
9959,MAGGLE13,Glera-13,Peronospora,73%,65%,72%,68%,72%,66%,71%
9962,MAGGLE13,Glera-13_1,Oidium,45%,42%,51%,47%,42%,33%,36%
9962,MAGGLE13,Glera-13_1,Peronospora,55%,58%,49%,53%,58%,67%,64%
9964,MAGMER11,Mer-11,Oidium,33%,33%,33%,32%,37%,30%,38%
9964,MAGMER11,Mer-11,Peronospora,67%,67%,67%,68%,63%,70%,62%
9965,MAGGLE14,Glera-14,Oidium,35%,35%,28%,36%,34%,34%,34%
9965,MAGGLE14,Glera-14,Peronospora,65%,65%,72%,64%,66%,66%,66%
9968,MAGPG03,Pg-3,Oidium,41%,53%,51%,49%,52%,43%,28%
9968,MAGPG03,Pg-3,Peronospora,59%,47%,49%,51%,48%,57%,72%
9970,MAGSV05,Sv-5,Oidium,10%,23%,34%,27%,31%,23%,25%
9970,MAGSV05,Sv-5,Peronospora,90%,77%,66%,73%,69%,77%,75%
9971,MAGFR08,ToFr-8,Oidium,39%,34%,23%,34%,40%,32%,30%
9971,MAGFR08,ToFr-8,Peronospora,61%,66%,77%,66%,60%,68%,70%
9978,MAGVER09,Verduzzo,Oidium,45%,42%,51%,47%,42%,33%,36%
9978,MAGVER09,Verduzzo,Peronospora,55%,58%,49%,53%,58%,67%,64%
9980,MAGPG01,Pg-1,Oidium,40%,48%,48%,48%,48%,42%,32%
9980,MAGPG01,Pg-1,Peronospora,60%,52%,52%,52%,52%,58%,68%
9981,MAGPG02,Pg-2,Oidium,29%,37%,31%,30%,36%,34%,25%
9981,MAGPG02,Pg-2,Peronospora,71%,63%,69%,70%,64%,66%,75%
9983,MAGTR07,Tra-7,Oidium,34%,38%,35%,30%,34%,30%,25%
9983,MAGTR07,Tra-7,Peronospora,66%,62%,65%,70%,66%,70%,75%
9986,MAGSV06,Sv-6,Oidium,26%,40%,28%,36%,33%,34%,40%
9986,MAGSV06,Sv-6,Peronospora,74%,60%,72%,64%,67%,66%,60%
9987,MAGCH10,Ch-10,Oidium,31%,42%,29%,33%,32%,31%,39%
9987,MAGCH10,Ch-10,Peronospora,69%,58%,71%,67%,68%,69%,61%
9990,MAGCF12,Cf-12,Oidium,48%,52%,48%,57%,39%,40%,35%
9990,MAGCF12,Cf-12,Peronospora,52%,48%,52%,43%,61%,60%,65%
9992,MAGSV04,Sv-4,Oidium,40%,49%,47%,44%,52%,37%,32%
9992,MAGSV04,Sv-4,Peronospora,60%,51%,53%,56%,48%,63%,68%
9993,VISTMER01,Mer-Colombera,Oidium,31%,28%,34%,28%,23%,20%,25%
9993,VISTMER01,Mer-Colombera,Peronospora,69%,72%,66%,72%,77%,80%,75%
9994,VISTREB01,Rebo-2005,Oidium,32%,29%,33%,32%,32%,26%,29%
9994,VISTREB01,Rebo-2005,Peronospora,68%,71%,67%,68%,68%,74%,71%
9996,VISTRDPR01,RefDPR-2005,Oidium,35%,25%,33%,39%,31%,28%,23%
9996,VISTRDPR01,RefDPR-2005,Peronospora,65%,75%,67%,61%,69%,72%,77%
9997,VISTR01,ToFr-2005,Oidium,35%,28%,38%,42%,23%,22%,19%
9997,VISTR01,ToFr-2005,Peronospora,65%,72%,62%,58%,77%,78%,81%
9998,VISTMER01,Mer-1991,Oidium,36%,32%,37%,44%,27%,30%,23%
9998,VISTMER01,Mer-1991,Peronospora,64%,68%,63%,56%,73%,70%,77%
10000,VISTGLE01,Glera-Glera,Oidium,27%,29%,37%,48%,33%,25%,26%
10000,VISTGLE01,Glera-Glera,Peronospora,73%,71%,63%,52%,67%,75%,74%
10003,VISTMER02,Mer-1996,Oidium,31%,23%,24%,35%,43%,33%,33%
10003,VISTMER02,Mer-1996,Peronospora,69%,77%,76%,65%,57%,67%,67%
10005,VISTCF01,Cf-2001_sud,Oidium,32%,38%,40%,37%,39%,30%,31%
10005,VISTCF01,Cf-2001_sud,Peronospora,68%,62%,60%,63%,61%,70%,69%
10007,VISTMER03,Mer-2001_nord,Oidium,33%,28%,35%,35%,32%,25%,33%
10007,VISTMER03,Mer-2001_nord,Peronospora,67%,72%,65%,65%,68%,75%,67%
10009,VISTMER04,Mer-2000_sud,Oidium,33%,29%,35%,36%,32%,26%,33%
10009,VISTMER04,Mer-2000_sud,Peronospora,67%,71%,65%,64%,68%,74%,67%
10010,VISTMER05,Mer-2000_nord,Oidium,40%,44%,44%,50%,47%,45%,43%
10010,VISTMER05,Mer-2000_nord,Peronospora,60%,56%,56%,50%,53%,55%,57%
10012,VISTMER06,Mer1999_sud            ,Oidium,30%,24%,28%,30%,22%,27%,30%
10012,VISTMER06,Mer1999_sud            ,Peronospora,70%,76%,72%,70%,78%,73%,70%
10013,VISTMER07,Mer-1999 nord                 ,Oidium,28%,36%,30%,33%,33%,35%,27%
10013,VISTMER07,Mer-1999 nord                 ,Peronospora,72%,64%,70%,67%,67%,65%,73%
10017,VISTMER08,Mer- 1998_SUD,Oidium,39%,48%,37%,36%,35%,33%,38%
10017,VISTMER08,Mer- 1998_SUD,Peronospora,61%,52%,63%,64%,65%,67%,62%
10018,VISTMER09,Mer-1998_nord         ,Oidium,25%,41%,35%,37%,35%,22%,26%
10018,VISTMER09,Mer-1998_nord         ,Peronospora,75%,59%,65%,63%,65%,78%,74%
10032,VISTMER10,Mer-1997_B_Sud,Oidium,25%,31%,27%,29%,24%,24%,30%
10032,VISTMER10,Mer-1997_B_Sud,Peronospora,75%,69%,73%,71%,76%,76%,70%
10043,VISTMER11,Mer 1997_B_Nord    ,Oidium,13%,14%,26%,25%,20%,28%,33%
10043,VISTMER11,Mer 1997_B_Nord    ,Peronospora,87%,86%,74%,75%,80%,72%,67%
10052,VISTMER12,Mer_1997_A_sud,Oidium,32%,32%,34%,29%,30%,30%,39%
10052,VISTMER12,Mer_1997_A_sud,Peronospora,68%,68%,66%,71%,70%,70%,61%
10058,ERMREF01,Ref-Mario,Oidium,36%,26%,26%,26%,28%,22%,38%
10058,ERMREF01,Ref-Mario,Peronospora,64%,74%,74%,74%,72%,78%,62%
10063,VIACH01,Ch-Judrio,Oidium,46%,54%,47%,46%,41%,36%,47%
10063,VIACH01,Ch-Judrio,Peronospora,54%,46%,53%,54%,59%,64%,53%
10077,VISTMER13,Mer_1997_A_nord,Oidium,58%,61%,60%,58%,55%,50%,45%
10077,VISTMER13,Mer_1997_A_nord,Peronospora,42%,39%,40%,42%,45%,50%,55%
10182,VIAIM01,IncM-Judrio,Oidium,25%,21%,28%,25%,25%,28%,32%
10182,VIAIM01,IncM-Judrio,Peronospora,75%,79%,72%,75%,75%,72%,68%
10202,VIASCH01,Sch-Judrio,Oidium,23%,28%,34%,21%,19%,32%,30%
10202,VIASCH01,Sch-Judrio,Peronospora,77%,72%,66%,79%,81%,68%,70%
10223,VIAPIG01,Pig-Collina Alta,Oidium,22%,28%,39%,37%,27%,32%,33%
10223,VIAPIG01,Pig-Collina Alta,Peronospora,78%,72%,61%,63%,73%,68%,67%
10254,VISTANC02,ancellotta-2003,Oidium,48%,43%,45%,40%,38%,44%,47%
10254,VISTANC02,ancellotta-2003,Peronospora,52%,57%,55%,60%,62%,56%,53%
10255,VISCF02,Cf-2003,Oidium,48%,42%,42%,43%,36%,29%,35%
10255,VISCF02,Cf-2003,Peronospora,52%,58%,58%,57%,64%,71%,65%
10256,VISTRDPR02,Ref DPR-2003,Oidium,60%,60%,56%,55%,60%,59%,51%
10256,VISTRDPR02,Ref DPR-2003,Peronospora,40%,40%,44%,45%,40%,41%,49%
10257,VISTMER14,Mer-Ridiel,Oidium,46%,44%,39%,41%,41%,35%,40%
10257,VISTMER14,Mer-Ridiel,Peronospora,54%,56%,61%,59%,59%,65%,60%
10258,VISTTR02,ToFr-Tocai,Oidium,53%,50%,54%,46%,38%,33%,30%
10258,VISTTR02,ToFr-Tocai,Peronospora,47%,50%,46%,54%,62%,67%,70%
10259,PUISV01,Sau - Nuovo Romans,Oidium,63%,62%,58%,59%,57%,51%,44%
10259,PUISV01,Sau - Nuovo Romans,Peronospora,37%,38%,42%,41%,43%,49%,56%
10260,PUIPG02,Pg - Pali Cemento Romans,Oidium,62%,56%,52%,46%,39%,49%,35%
10260,PUIPG02,Pg - Pali Cemento Romans,Peronospora,38%,44%,48%,54%,61%,51%,65%
10261,PUIPN01,Pn - Vecchio Romans,Oidium,39%,34%,42%,34%,31%,28%,34%
10261,PUIPN01,Pn - Vecchio Romans,Peronospora,61%,66%,58%,66%,69%,72%,66%
10263,PUIPN03,Pn - Giovane Romans,Oidium,49%,39%,38%,45%,31%,48%,45%
10263,PUIPN03,Pn - Giovane Romans,Peronospora,51%,61%,62%,55%,69%,52%,55%
10264,PUIPG07,Pg-24File,Oidium,37%,45%,46%,50%,42%,45%,51%
10264,PUIPG07,Pg-24File,Peronospora,63%,55%,54%,50%,58%,55%,49%
10265,PUIPG09,Pg-30File,Oidium,32%,31%,39%,34%,26%,33%,40%
10265,PUIPG09,Pg-30File,Peronospora,68%,69%,61%,66%,74%,67%,60%
10266,PUICH02,Cha - Vecchio Romans,Oidium,36%,39%,41%,38%,41%,39%,37%
10266,PUICH02,Cha - Vecchio Romans,Peronospora,64%,61%,59%,62%,59%,61%,63%
10267,PUISV02,Sau - Vecchio Romans,Oidium,32%,35%,40%,35%,34%,30%,31%
10267,PUISV02,Sau - Vecchio Romans,Peronospora,68%,65%,60%,65%,66%,70%,69%
10268,PUITR01,TraAro-Romans,Oidium,43%,47%,48%,45%,38%,37%,45%
10268,PUITR01,TraAro-Romans,Peronospora,57%,53%,52%,55%,62%,63%,55%
10269,PUICH03,Cha - 2 ha Romans,Oidium,40%,44%,36%,39%,38%,42%,45%
10269,PUICH03,Cha - 2 ha Romans,Peronospora,60%,56%,64%,61%,62%,58%,55%
10270,PUITC03,ToFr - 2 ha Romans,Oidium,43%,42%,42%,40%,41%,40%,46%
10270,PUITC03,ToFr - 2 ha Romans,Peronospora,57%,58%,58%,60%,59%,60%,54%
10271,PUIPG10,Pg-22File,Oidium,40%,40%,30%,35%,39%,38%,38%
10271,PUIPG10,Pg-22File,Peronospora,60%,60%,70%,65%,61%,62%,62%
10272,PUIPG11,Pg-39File,Oidium,29%,27%,30%,33%,27%,28%,23%
10272,PUIPG11,Pg-39File,Peronospora,71%,73%,70%,67%,73%,72%,77%
10273,PUICH04,Cha - Nuovo Romans,Oidium,31%,40%,35%,44%,39%,38%,26%
10273,PUICH04,Cha - Nuovo Romans,Peronospora,69%,60%,65%,56%,61%,62%,74%
10274,PUITC04,ToFr - Nuovo Romans,Oidium,28%,39%,40%,47%,38%,28%,26%
10274,PUITC04,ToFr - Nuovo Romans,Peronospora,72%,61%,60%,53%,62%,72%,74%
10275,PUIRB02,RibRomans,Oidium,36%,39%,38%,18%,15%,22%,23%
10275,PUIRB02,RibRomans,Peronospora,64%,61%,62%,82%,85%,78%,77%
10276,GIGSV01,Sv-Rovere,Oidium,29%,16%,16%,15%,8%,13%,15%
10276,GIGSV01,Sv-Rovere,Peronospora,71%,84%,84%,85%,92%,87%,85%
10277,GIGCABF03,Cf-Rovere,Oidium,33%,22%,28%,27%,23%,20%,18%
10277,GIGCABF03,Cf-Rovere,Peronospora,67%,78%,72%,73%,77%,80%,82%
10278,GIGSV02,Sv-Magnan,Oidium,40%,44%,40%,42%,30%,23%,29%
10278,GIGSV02,Sv-Magnan,Peronospora,60%,56%,60%,58%,70%,77%,71%
10279,CENMR02,Mer-Ritocchino,Oidium,66%,68%,66%,67%,70%,68%,69%
10279,CENMR02,Mer-Ritocchino,Peronospora,34%,32%,34%,33%,30%,32%,31%
10280,CENSCH02,Sch-Ritocchino,Oidium,63%,62%,63%,61%,65%,63%,70%
10280,CENSCH02,Sch-Ritocchino,Peronospora,37%,38%,37%,39%,35%,37%,30%
10281,GIGCABF02,Cf-Magnan1,Oidium,42%,39%,40%,43%,35%,35%,38%
10281,GIGCABF02,Cf-Magnan1,Peronospora,58%,61%,60%,57%,65%,65%,62%
10282,GIGPING01,Pg-Magnan,Oidium,26%,32%,40%,32%,40%,39%,34%
10282,GIGPING01,Pg-Magnan,Peronospora,74%,68%,60%,68%,60%,61%,66%
10283,GIGSV03,Sv-Sottostrada,Oidium,31%,39%,36%,32%,27%,24%,22%
10283,GIGSV03,Sv-Sottostrada,Peronospora,69%,61%,64%,68%,73%,76%,78%
10284,GIGPING01,Pg-Sottostrada,Oidium,32%,34%,46%,30%,36%,25%,28%
10284,GIGPING01,Pg-Sottostrada,Peronospora,68%,66%,54%,70%,64%,75%,72%
10285,GIGMER04,Mer-Sottostrada,Oidium,32%,34%,45%,33%,31%,30%,36%
10285,GIGMER04,Mer-Sottostrada,Peronospora,68%,66%,55%,67%,69%,70%,64%
10286,CENRF02,Ref-Ritocchino,Oidium,65%,57%,68%,71%,77%,74%,66%
10286,CENRF02,Ref-Ritocchino,Peronospora,35%,43%,32%,29%,23%,26%,34%
10287,GIGFRI05,ToFr-Sottostrada,Oidium,18%,27%,38%,36%,35%,31%,28%
10287,GIGFRI05,ToFr-Sottostrada,Peronospora,82%,73%,62%,64%,65%,69%,72%
10288,GIGCHA01,Ch-Quadrel,Oidium,29%,23%,28%,27%,36%,36%,35%
10288,GIGCHA01,Ch-Quadrel,Peronospora,71%,77%,72%,73%,64%,64%,65%
10289,GIGCHA02,Ch-Diga,Oidium,24%,26%,38%,28%,20%,27%,33%
10289,GIGCHA02,Ch-Diga,Peronospora,76%,74%,62%,72%,80%,73%,67%
10290,GIGREF01,Ref-Diga,Oidium,34%,31%,51%,42%,31%,28%,32%
10290,GIGREF01,Ref-Diga,Peronospora,66%,69%,49%,58%,69%,72%,68%
10297,VIATAZ01,Taz-Judrio,Oidium,40%,43%,37%,42%,41%,37%,46%
10297,VIATAZ01,Taz-Judrio,Peronospora,60%,57%,63%,58%,59%,63%,54%
11290,VIAOSE01,Ose-Judrio,Oidium,51%,54%,56%,39%,35%,31%,28%
11290,VIAOSE01,Ose-Judrio,Peronospora,49%,46%,44%,61%,65%,69%,72%
11316,VIAMR02,Mer-Judrio,Oidium,48%,52%,58%,41%,38%,35%,28%
11316,VIAMR02,Mer-Judrio,Peronospora,52%,48%,42%,59%,62%,65%,72%
11489,VIACF01,Cf-Judrio,Oidium,35%,29%,39%,40%,31%,30%,41%
11489,VIACF01,Cf-Judrio,Peronospora,65%,71%,61%,60%,69%,70%,59%
11492,VIACSV01,Csv-Judrio,Oidium,35%,29%,39%,40%,31%,30%,41%
11492,VIACSV01,Csv-Judrio,Peronospora,65%,71%,61%,60%,69%,70%,59%
11505,VIACB01,Cabernet-Judrio,Oidium,39%,38%,37%,42%,36%,38%,39%
11505,VIACB01,Cabernet-Judrio,Peronospora,61%,62%,63%,58%,64%,62%,61%
11506,BGTPG01,Pg-SanQuirino,Oidium,42%,39%,41%,35%,41%,41%,37%
11506,BGTPG01,Pg-SanQuirino,Peronospora,58%,61%,59%,65%,59%,59%,63%
11511,BGTRB01,RibG-Pradis,Oidium,35%,34%,43%,35%,34%,31%,34%
11511,BGTRB01,RibG-Pradis,Peronospora,65%,66%,57%,65%,66%,69%,66%
11561,BGTTC02,ToFr-Preval,Oidium,37%,39%,40%,34%,33%,34%,37%
11561,BGTTC02,ToFr-Preval,Peronospora,63%,61%,60%,66%,67%,66%,63%
11583,SRESV03,Sau - Broili MolinNuovo,Oidium,43%,44%,40%,40%,43%,42%,31%
11583,SRESV03,Sau - Broili MolinNuovo,Peronospora,57%,56%,60%,60%,57%,58%,69%
11645,GIGSV04,Sv-Diga,Oidium,39%,34%,34%,28%,29%,31%,34%
11645,GIGSV04,Sv-Diga,Peronospora,61%,66%,66%,72%,71%,69%,66%
11711,SREPG02,Pg - Broili MolinNuovo ,Oidium,21%,29%,36%,39%,20%,32%,36%
11711,SREPG02,Pg - Broili MolinNuovo ,Peronospora,79%,71%,64%,61%,80%,68%,64%
11731,SRECH04,Cha - MolinNuovo,Oidium,43%,44%,40%,40%,43%,43%,31%
11731,SRECH04,Cha - MolinNuovo,Peronospora,57%,56%,60%,60%,57%,57%,69%
11816,SREMT03,Mer - Vecchio MolinNuovo,Oidium,48%,48%,46%,47%,44%,43%,48%
11816,SREMT03,Mer - Vecchio MolinNuovo,Peronospora,52%,52%,54%,53%,56%,57%,52%
11819,GIGSCH01,Sch-Luciano,Oidium,27%,30%,26%,25%,29%,26%,30%
11819,GIGSCH01,Sch-Luciano,Peronospora,73%,70%,74%,75%,71%,74%,70%
11874,SRECAR03,Car - Keber MolinNuovo,Oidium,23%,26%,22%,23%,11%,27%,31%
11874,SRECAR03,Car - Keber MolinNuovo,Peronospora,77%,74%,78%,77%,89%,73%,69%
11894,SREVER03,Ver - MolinNuovo ,Oidium,24%,24%,19%,23%,11%,27%,30%
11894,SREVER03,Ver - MolinNuovo ,Peronospora,76%,76%,81%,77%,89%,73%,70%
11948,CENPN01,Pn-Piano,Oidium,55%,48%,44%,51%,50%,44%,44%
11948,CENPN01,Pn-Piano,Peronospora,45%,52%,56%,49%,50%,56%,56%
11968,SRETO02,ToFr-Gorga,Oidium,14%,28%,21%,14%,15%,27%,32%
11968,SRETO02,ToFr-Gorga,Peronospora,86%,72%,79%,86%,85%,73%,68%
12006,SRESV01,Sv-Gorga,Oidium,31%,39%,37%,22%,17%,34%,31%
12006,SRESV01,Sv-Gorga,Peronospora,69%,61%,63%,78%,83%,66%,69%
12026,SREMAL01,Mal-Licinio,Oidium,31%,39%,37%,22%,17%,34%,32%
12026,SREMAL01,Mal-Licinio,Peronospora,69%,61%,63%,78%,83%,66%,68%
12288,GIGFRI01,ToFr-Ciliegi,Oidium,48%,44%,46%,45%,42%,37%,37%
12288,GIGFRI01,ToFr-Ciliegi,Peronospora,52%,56%,54%,55%,58%,63%,63%
12338,SRETO01,ToFr-Licinio,Oidium,31%,29%,39%,35%,31%,33%,40%
12338,SRETO01,ToFr-Licinio,Peronospora,69%,71%,61%,65%,69%,67%,60%
12373,TIARIBG01,RibG-piscina,Oidium,34%,29%,38%,36%,33%,36%,38%
12373,TIARIBG01,RibG-piscina,Peronospora,66%,71%,62%,64%,67%,64%,62%
12526,TIASV01,Sv-Piscina,Oidium,55%,48%,47%,47%,43%,37%,46%
12526,TIASV01,Sv-Piscina,Peronospora,45%,52%,53%,53%,57%,63%,54%
12528,CENSV01,Sv-Piano,Oidium,31%,25%,25%,33%,36%,34%,26%
12528,CENSV01,Sv-Piano,Peronospora,69%,75%,75%,67%,64%,66%,74%
12532,TIASV02,Sv-Reka,Oidium,42%,46%,48%,43%,39%,38%,45%
12532,TIASV02,Sv-Reka,Peronospora,58%,54%,52%,57%,61%,62%,55%
12535,GIGPIG01,Pig-Soprastrada,Oidium,64%,54%,57%,51%,39%,43%,47%
12535,GIGPIG01,Pig-Soprastrada,Peronospora,36%,46%,43%,49%,61%,57%,53%
12539,TIARIBG02,RibG-Judrio,Oidium,37%,41%,41%,38%,41%,38%,37%
12539,TIARIBG02,RibG-Judrio,Peronospora,63%,59%,59%,62%,59%,62%,63%
12541,TIASCH01,Sch-Judrio sovrainnestato nel 2016,Oidium,37%,41%,41%,38%,41%,38%,37%
12541,TIASCH01,Sch-Judrio sovrainnestato nel 2016,Peronospora,63%,59%,59%,62%,59%,62%,63%
12580,CENSC01,Sch-Piano,Oidium,36%,34%,38%,35%,32%,31%,39%
12580,CENSC01,Sch-Piano,Peronospora,64%,66%,62%,65%,68%,69%,61%
12636,TIASV02,Sv-Bosco1,Oidium,15%,32%,42%,27%,22%,27%,31%
12636,TIASV02,Sv-Bosco1,Peronospora,85%,68%,58%,73%,78%,73%,69%
12707,GIGMER02,Mer-Riserva,Oidium,17%,33%,28%,13%,20%,30%,34%
12707,GIGMER02,Mer-Riserva,Peronospora,83%,67%,72%,87%,80%,70%,66%
12708,CENCS01,Csv-Piano,Oidium,30%,30%,26%,25%,29%,25%,30%
12708,CENCS01,Csv-Piano,Peronospora,70%,70%,74%,75%,71%,75%,70%
12718,TIASV03,Sau - Agrisosta,Oidium,37%,41%,40%,43%,48%,40%,46%
12718,TIASV03,Sau - Agrisosta,Peronospora,63%,59%,60%,57%,52%,60%,54%
12888,GIGFRI03,ToFr-Storico,Oidium,46%,34%,36%,34%,32%,31%,35%
12888,GIGFRI03,ToFr-Storico,Peronospora,54%,66%,64%,66%,68%,69%,65%
12927,GIGSCH04,Sch-Storico,Oidium,25%,16%,25%,25%,16%,28%,33%
12927,GIGSCH04,Sch-Storico,Peronospora,75%,84%,75%,75%,84%,72%,67%
12969,TIACAR01,Car - Moraro,Oidium,45%,44%,47%,36%,32%,28%,30%
12969,TIACAR01,Car - Moraro,Peronospora,55%,56%,53%,64%,68%,72%,70%
