Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
20.0,1171,VRSPG29,Pg-Pighin1,Peronospora,72%,63%,74%,89%,83%,89%,73%
20.0,1200,BGTCH02,Ch- SanQuirino,Oidium,26%,26%,23%,19%,25%,23%,32%
20.0,1200,BGTCH02,Ch- SanQuirino,Peronospora,74%,74%,77%,81%,75%,77%,68%
21.0,1228,BGTVER01,Ver-SanQuirino,Oidium,28%,28%,33%,46%,42%,43%,45%
21.0,1228,BGTVER01,Ver-SanQuirino,Peronospora,72%,72%,67%,54%,58%,57%,55%
21.0,1308,BGTCSV01,Csv-SanQuirino,Oidium,30%,25%,30%,42%,36%,42%,48%
21.0,1308,BGTCSV01,Csv-SanQuirino,Peronospora,70%,75%,70%,58%,64%,58%,52%
21.0,1314,SFEPG01,Pg-Chiesa,Oidium,28%,29%,43%,41%,37%,45%,52%
21.0,1314,SFEPG01,Pg-Chiesa,Peronospora,72%,71%,57%,59%,63%,55%,48%
-1.0,1328,SRECH01,Ch-Gorga,Oidium,26%,16%,26%,30%,23%,36%,36%
-1.0,1328,SRECH01,Ch-Gorga,Peronospora,74%,84%,74%,70%,77%,64%,64%
21.0,1346,SFEMR01,Mer-Braida,Oidium,40%,34%,25%,36%,45%,46%,51%
21.0,1346,SFEMR01,Mer-Braida,Peronospora,60%,66%,75%,64%,55%,54%,49%
21.0,1353,SFEME02,Me-Braida,Oidium,29%,25%,33%,41%,38%,37%,49%
21.0,1353,SFEME02,Me-Braida,Peronospora,71%,75%,67%,59%,62%,63%,51%
21.0,1548,SFETC01,Sch-Potok,Oidium,45%,36%,40%,38%,31%,39%,42%
21.0,1548,SFETC01,Sch-Potok,Peronospora,55%,64%,60%,62%,69%,61%,58%
21.0,1594,SFECH04,Ch-mirnik,Oidium,40%,33%,40%,34%,31%,31%,41%
21.0,1594,SFECH04,Ch-mirnik,Peronospora,60%,67%,60%,66%,69%,69%,59%
24.0,1641,SFEMR02,Mer-Mirnik,Oidium,47%,34%,32%,43%,35%,41%,40%
24.0,1641,SFEMR02,Mer-Mirnik,Peronospora,53%,66%,68%,57%,65%,59%,60%
24.0,1702,SFECSV04,Csv-Giovanin,Oidium,47%,35%,42%,37%,32%,36%,36%
24.0,1702,SFECSV04,Csv-Giovanin,Peronospora,53%,65%,58%,63%,68%,64%,64%
24.0,1772,SFESV01,Sv-Giovanin,Oidium,48%,33%,39%,35%,34%,34%,39%
24.0,1772,SFESV01,Sv-Giovanin,Peronospora,52%,67%,61%,65%,66%,66%,61%
24.0,1789,SFEMAL01,Mal-Ronc,Oidium,47%,38%,41%,39%,36%,42%,41%
24.0,1789,SFEMAL01,Mal-Ronc,Peronospora,53%,62%,59%,61%,64%,58%,59%
24.0,1802,SFECH01,Ch-ronc,Oidium,44%,36%,47%,40%,36%,40%,38%
24.0,1802,SFECH01,Ch-ronc,Peronospora,56%,64%,53%,60%,64%,60%,62%
24.0,1856,SFERB05,RibG-ronc,Oidium,38%,29%,34%,35%,30%,38%,39%
24.0,1856,SFERB05,RibG-ronc,Peronospora,62%,71%,66%,65%,70%,62%,61%
24.0,1880,SFESCH01,Sch-Lidia,Oidium,49%,37%,37%,33%,33%,31%,37%
24.0,1880,SFESCH01,Sch-Lidia,Peronospora,51%,63%,63%,67%,67%,69%,63%
